id,country_name,country_id,is_active,created_by,created_date,updated_by,updated_date
236,"Vatican City State (Holy See)",236,1,admin,"2023-06-14 03:33:06",NULL,NULL
237,Venezuela,237,1,admin,"2023-06-14 03:33:06",NULL,NULL
238,Vietnam,238,1,admin,"2023-06-14 03:33:06",NULL,NULL
239,"Virgin Islands (British)",239,1,admin,"2023-06-14 03:33:06",NULL,NULL
240,"Virgin Islands (US)",240,1,admin,"2023-06-14 03:33:06",NULL,NULL
241,"Wallis And Futuna Islands",241,1,admin,"2023-06-14 03:33:06",NULL,NULL
242,"Western Sahara",242,1,admin,"2023-06-14 03:33:06",NULL,NULL
243,Yemen,243,1,admin,"2023-06-14 03:33:06",NULL,NULL
244,Yugoslavia,244,1,admin,"2023-06-14 03:33:06",NULL,NULL
245,Zambia,245,1,admin,"2023-06-14 03:33:06",NULL,NULL
246,Zimbabwe,246,1,admin,"2023-06-14 03:33:06",NULL,NULL
